Code, FullName, CodeName, 
271, Benzeen in ug/l in oppervlaktewater                                                                                       , 271%7CBenzeen+in+ug%2Fl+in+oppervlaktewater                                                                                                      , 
2214, Benzo(a)antraceen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                , 2214%7CBenzo%28a%29antraceen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                      , 
438, Benzo(a)antraceen in mg/kg drooggewicht in bodem/sediment                                                                 , 438%7CBenzo%28a%29antraceen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                          , 
496, Benzo(a)antraceen in mg/kg drooggewicht in zwevende stof                                                                  , 496%7CBenzo%28a%29antraceen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                             , 
265, Benzo(a)antraceen in ug/l in oppervlaktewater                                                                             , 265%7CBenzo%28a%29antraceen+in+ug%2Fl+in+oppervlaktewater                                                                                        , 
2215, Benzo(a)pyreen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                   , 2215%7CBenzo%28a%29pyreen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                         , 
440, Benzo(a)pyreen in mg/kg drooggewicht in bodem/sediment                                                                    , 440%7CBenzo%28a%29pyreen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                             , 
497, Benzo(a)pyreen in mg/kg drooggewicht in zwevende stof                                                                     , 497%7CBenzo%28a%29pyreen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                , 
266, Benzo(a)pyreen in ug/l in oppervlaktewater                                                                                , 266%7CBenzo%28a%29pyreen+in+ug%2Fl+in+oppervlaktewater                                                                                           , 
8367, Benzo(a)pyreen in ug/l opgelost in oppervlaktewater                                                                       , 8367%7CBenzo%28a%29pyreen+in+ug%2Fl+opgelost+in+oppervlaktewater                                                                                 , 
2216, Benzo(b)fluorantheen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                             , 2216%7CBenzo%28b%29fluorantheen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                   , 
442, Benzo(b)fluorantheen in mg/kg drooggewicht in bodem/sediment                                                              , 442%7CBenzo%28b%29fluorantheen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                       , 
