CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2019032,10-5-2019,17-7-2019,IOGP,Add geog2D CRS and ISO reference to WGS 84 data,,,NaN,"Added CRSs 8888 and 9053-57 and transformation 9145. Deprecated transformation 7671 and added replacement 9076. For CRSs 3855, 5773, 5798, 7656-65 and 7815-16 and transformations 7666-70 and 7672, added ISO reference. For transformations 3858-59, added ISO reference and information source, amended remarks to include reference to spherical harmonic alternative. For transformation 10084, added ISO reference, amended remarks to include reference to spherical harmonic alternative. For transformation 10084, added ISO reference, amended remarks to include reference to spherical harmonic alternative and alternative file name."
2019033,10-5-2019,17-9-2019,IOGP,Add ISO reference for Australia data,,,NaN,"Added transformation 8887. For CRSs 4202-03, 4283, 4938-39, 5711 and 7842-44 and transformations 1280, 1803-04, 5656-57, 6276-80, 6313, 6315, 6392, 8048-49, 8444-48, 8451 and 15979, added ISO register references."
2019034,10-5-2019,17-9-2019,IOGP,Add Canada data,,,NaN,"Added areas 4533-37, transformations 9058 and 9105-25.For CRSs 4122, 4608-09, 5713, 6647, 8230-33, 8235, 8237-40, 8242, 8244 and 8246-55 and transformations 1313, 1463, 8256-62 and 8264-65, added ISO reference.  For transformations 1573 and 1575, changed file name and added ISO reference and remarks. For transformations 1603-05 and 1947-49, added ISO reference, amended scope and accuracy. For transformations 1691-92 and 1696, changed file name and added remarks. For areas 1289, 1349, 2140, 2384 and 4517, minor adjustment to polygon in Vancouver Island area."
2019035,10-5-2019,17-9-2019,IOGP,Add ISO reference to US data,,,NaN,"Added area 4544, datums 1221 and 1249, CRSs 9070-75, transformations 9077-78, 9126-29 and 9160-76. For datum 6269 and CRS 4269, updated aliases. For CRSs 4152, 4267, 4269, 4759, 4893, 4957, 5702-03, 6317-25, 6640-44, 6781-83, 8449, 8542 and 8544-45 and transformations 6864-66, 7807-09, 7969-71, 8549-52, 8555-56, 8559-61, 8669, 8673 and 8861-68, added ISO references. For transformations 6326-27 and 7646-50, added ISO references, amended accuracy and made case change in file name. Deprecated transformation 8670 and added replacement 9181. Deprecated transformations 10013-20 (replaced by 9168). For area 1323, added 'Conus' to description. For areas 2973-80, in description added parts of states not fully included. For area 4516, in description corrected hyphen."
2019036,10-5-2019,17-7-2019,IOGP,Add ISO reference to Japan data,,,NaN,"For CRSs 4612, 4946-47, 6666-68 and 6694-95, added ISO reference."
2019038,10-5-2019,17-7-2019,IOGP,Add geog2D CRS and ISO reference to ETRF data,,,NaN,"Added CRSs 9059-69. For CRSs 5621, 5730, 7914-31, 8397 and 8399 and transformations 5900, 7932-39 and 7941-51, added ISO register references."
2019074,28-9-2019,14-10-2019,IOGP,Correct St Helena transformation,,,NaN,"Deprecated transfomtion 7896 and added replacement 9226. For transformation 7895, in remarks updated cross-referenced code."
2019075,28-9-2019,14-10-2019,IOGP,Correct Canada transformations,,,NaN,"Deprecated transformation 8262 and added replacement 9227. For transformation 9118, corrected name."
2019076,10-10-2019,14-10-2019,IOGP,Amend Vietnam polygons,,,NaN,"For areas 1059, 1138, 1252, 1302, 1452-53, 1494, 1542, 2359-60, 2721-22, 3225, 3328, 3770, 4007, 4015, 4193, 4215 and 4217, minor amendments to polygon and bounding box. For areas 1067, 1495, 1592, 2720, 3228 and 3944, minor amendments to polygon."
2019081,31-10-2019,11-11-2019,IOGP,Correct US duplicate variant,,8551,NaN,"For transformation 8551, changed variant and name from (1) to (2)."
