CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2003.17,24-06-2003,27-06-2003,Flavio Pletti; Polettix,Clarify Helmert transformation formulae,Coordinate Operation Method,,"Rotations are in radians as the mathematics uses the approximation of sine 1"".",Notified correspondent.
2003.18,27-06-2003,17-03-2004,Richard Wylde; ExxonMobil,Add Jamaica transformation,,,,Added tfms 1083-86. 10086-88.
2003.19,27-06-2003,07-01-2004,EPSG,Add Italy data,,,,Added datum 6670; CRSs 4670 and 4982-83 and 3064-65; tfm 1098-99.
2003.2,27-06-2003,30-09-2003,EPSG,Add offshore Germany transformation,,,,"Added coordinate operation method 9654, parameters 8697-8726, area 2879, tfm 1052."
2003.201,31-10-2003,17-03-2004,EPSG,Add Germany offshore transformation,,,,Added tfm 1998. Added cross-reference to tfm 1052.
2003.21,06-08-2003,17-03-2004,Stephen H. Savage; Arizona State University,Add Jordan data,,,"ED50 to WGS 84 geocentric transformation with parameters dX=-112.0m, dY=-110.3m, dZ=-140.2m not added to dataset as it is inconsistent with tfm from neighbouring countries (Turkey and Egypt).","Added projection 19995, projCRS 3066."
2003.22,06-08-2003,30-09-2003,Melita Kennedy; ESRI,Review Antarctica Terre Adelie projection,Coordinate Operation Method; Coordinate Operation,9810; 19983,GN7 updated. Method 9810 also used by proj 16061 and 16161.,Enhanced formula for method 9810; added methods 9829-30; changed proj 19983 from using method 9810 to method 9830 including deletion of scale factor parameter.
2003.221,06-08-2003,30-09-2003,EPSG,Add Antarctic data,,,,Added area 2880; proj 19992-94; CS 4489-90; CRS 3031-33.
2003.23,06-08-2003,30-09-2003,Melita Kennedy; ESRI,Correct spelling of Portugal Selvagens transformation,Coordinate Operation,1889,,Deprecated tfm 1889 and added replacement 1965. Amended area 2779 description from Portugal - Selvagens island (Madeira group) to Portugal - Selvagens islands (Madeira province).
2003.231,14-08-2003,30-09-2003,EPSG,Add Portugal data,Datum; Coordinate Reference System; Coordinate Operation,6183-84 6615; 4183 4615 2189 2942; 1944-45.,,"Amended datum 6615 name from Porto Santo to Porto Santo 1936; added alias Porto Santo. Added datum 6663-66, geogCRS 4663-6 66636405 66646405 66656405 66666405, projCRS 3061-63. Added area 2870-75, tfm 1966-91 and 8648-49. Added aliase Base SE to datum 6615, CRSs 4615, 2942 and tfm 1888. Added alias Base SW to datum 6183, CRSs 4183, 2189 and tfm 1886. Added remarks to alias to datum 6184, CRSs 4184 and 2190. Added supersession remarks to datum 6183-84 and 6615; CRS 4183-84 and 4615. Deprecated tfm 1944-45."
2003.232,14-08-2003,30-09-2003,EPSG,Update Portugal information source URL,Datum; Coordinate Reference System,6615-16 6904; 4615-16 2942-43 2963,,Changed URL from www.ipcc.pt to www.igeo.pt.
2003.233,14-08-2003,23-12-2003,EPSG,Check parameter value for Portugal transformation,Coordinate Operation,1790 1792,Verified that tfm 1992 added in v6.4 is OK.,Deprecated tfm 1792. Deprecated tfm 1790 and added replacement tfm 1997. Changed cross-referencing remarks in tfms 1655 and 1657.
2003.234,14-08-2003,30-09-2003,EPSG,Add aliases for Portugal transformations,Coordinate Operation,1655 1756 1790,,Added aliases to tfm 1655 1756 1790
2003.24,06-08-2003,30-09-2003,Melita Kennedy; ESRI,Correct spelling of New Caledonia Grande Terre,Area; Coordinate Reference System; Coordinate Operation,2822-23; 2984 3060 4381-82 4634 66346405 4645; 1918 1929.,,"In area 2822 and 2823 and remarks for CRSs 4381-82 4645 and 2984, changed Grand Terre to Grande Terre. Deprecated CRSs 4634, 2982 and tfms 1918, 1929; added replacement CRSs 4662, 3060 and tfms 1962-63. Amended CRS 66346405 name and source CRS."
2003.241,14-08-2003,14-08-2003,EPSG,Delete spurious remark,Coordinate Operation,1919,,Deleted remarks for tfm 1919.
2003.25,06-08-2003,30-09-2003,Melita Kennedy; ESRI,Correct spelling of Reunion transformation,Coordinate Operation,1933,,Deprecated tfm 1933 and added replacement 1964. Amended remarks for reciprocal tfm 1926.
2003.26,14-08-2003,30-09-2003,EPSG,Add ETRS89 origin details,Datum,6258,,Added origin description and amended remarks.
2003.27,27-08-2003,30-09-2003,Carol McCaig; NIMA,Correct WGS 84 remarks,Datum,6326,,Amended origin description and added remarks and info source.
2003.28,30-08-2003,30-09-2003,EPSG,Correct Niger CRS axis unit,Coordinate Reference System,2931,,Corrected CS axis unit from ftUS to m.
2003.29,30-08-2003,30-09-2003,EPSG,Amend Australia AGD84 area,Area; Datum; Coordinate Reference System,2576; 6203; 4203,,"For area 2576, added Qld and SA to list of states. (Impacts datum 6203 and CRS 4203). For CRS 62036405 changed area of use from ""Australia"" to area 2576. For datum 6203, added origin information, remarks and info source. For CRS 4203, added info source."
2003.3,30-08-2003,30-09-2003,EPSG,Add IKBD,,,,Added datum 6667; CRS 4667 and 66676405; tfm 1993.
2003.31,16-09-2003,30-09-2003,EPSG,Correct Russia projCRS source geogCRS,Coordinate Reference System,2641-2735 and 2738-2759.,,Corrected source geogCRS from code 4284 to code 4200.
2003.32,15-10-2003,15-10-2003,EPSG,v6.4 release.,,,,
2003.33,24-10-2003,27-04-2004,Markus Neteler; ITC,Check US National Atlas projCRS,Coordinate Reference System; Datum,2163 4047; 6047,,"Added ellipsoid 7052, datum 6052, geogCRS 4052. Changed projCRS 2163 to reference geogCRS 4052 rather than 4047. Additional deprecation record applied to previously deprecated ellipsoid 7047. Datum 6047 amended to reference ellipsoid 7048 rather than 7047."
2003.34,27-11-2003,28-11-2003,"Maxim Dubinin; Biodiversity Conservation Center, Moscow",Add Romania transformation,,,,Added tfm 1097 and 1996.
2003.341,27-11-2003,28-11-2003,EPSG,Correct Romania transformation name,Coordinate Operation,1789,,Deprecated tfm 1789 and replaced it with 1995.
2003.35,10-12-2003,14-12-2003,Andreas Schimke; OLANIS Expertensysteme GmbH,Correct example,Coordinate Operation Method,9820,"Guidance Note 7 also corrected. No error in actual example, only in defining parameters.",Corrected values for FE and FN in Lambert Azimuthal Equal Area method example.
2003.36,18-12-2003,18-12-2003,Alan Haugh; Hydrosearch,Correct Italy datum origin details,Datum,6265,,Prime meridian referenced in Datum Origin fundamental point longitude details changed from Rome to Greenwich. Origin date and alias added (also to 6806).
2003.361,18-12-2003,07-01-2004,EPSG,Correct datum origin details,Datum,6190-91 6201-03 6211 6215 6221 6224 6230 6239 6257 6261 6263 6289 6297 6304 6666 6801-02 6807 6809-11 6813,,"Datum Origin longitude details changed: for 6215 from Brussels to Greenwich, for 6297 the Paris value wrongly labeled as Greenwich is corrected to the actual Greenwhich value, for 6304 and 6310 from Paris to Greenwich and from grads to degrees, for 6666 from Lisbon to Greenwich, for 6813 from Greenwich to Jakarta; for 6801 ""from Bern"" added, for 6802 ""from Bogota"" added, for 6807 ""from Lisbon"" added; coordinates added for 6257 6804; precision increased for 6202 6203 6211 6221 6263 6813; leading zero added to datum origin minutes/seconds for 6201 6224 6227 6282; double space removed from text for Datum Origin for 6157 6191 6289; details amended for 6239; for 6261 changed DMS symbols to abbreviations. Info source added for 6230 6257 6804. Origin remarks amended for 6191. Added datums 6304, 6811; geogCRSs 4671 and 4821; projCRSs 30493-94. Added remarks to datums 6304 and 6811, geogCRSs 4304 and 4811, projCRSs 30491-92. Amended remarks to projCRSs 30791-92."
2003.362,18-12-2003,07-01-2004,EPSG,Add datum origin details,Datum; Coordinate Reference System,"6131 6137-39 6159 6169 6181 6194 6216 6220 6223 6231 6236 6251 6255 6273 6293 6295 6302 6307 6309-10 6322 6618 6665 6816-17 6819; 4131, 61316405, 3176, 3148-4.",,"Datum origin information added. For datum 6131 also moved alias info from remarks to alias; alias added to CRS 4131, 61316405, 3176, 3148-49. For datum 6139 also added epoch."
2003.364,18-12-2003,07-01-2004,EPSG,Add ED79 datum and CRS details,,,,"Added datum 6668, CRS 4668."
2003.365,06-01-2004,07-01-2004,EPSG,Deprecate Algeria data,Datum; Coordinate Reference System,6819; 4819,,"Deprecated datum 6819, CRS 4819."
2003.37,31-12-2003,07-01-2004,EPSG,Amend geogCRS axis description,Coordinate Reference System,4001-16 4018-22 4024-34 4036 4041-45 4047 4120-24 4127-39 4141-71 4173-76 4178-84 4188-4216 4218-25 4227 4229-33 4236-59 4261-86 4288-89 4292-93 4295 4297-4304 4306-4318 4322 4324 4326 4600-4633 4635-46 4657-69 4801-06 4808-09 4813-15 4817-18 4820 4903-0,The derived geogCRS mechanism is no longer supported.,Added UoM 9122 and Coordinate System 6422-23. For geog2D CRSs changed CS from 6402 (DMSH) to 6422 (any representation) and amended scope and remarks. For geog3D CRSs changed CS from 6401 (DMSH) to 6423 (any representation) and amended scope and remarks. CS 6404 horizontal Axis UoM changed from 9102 (degree) to 9122 (degree (supplier-defined representation)).
2003.38,31-12-2003,07-01-2004,EPSG,Eliminate CRS kind from CRS name,Coordinate Reference System,4328-4389,"For geog 3d systems, CS changed from 6401 to 6423 - see change record 2003.370.","Deprecated geocentric and geographic 3D CRSs 4328-4389; added replacement CRSs 4910-19, 4930-81 and 4984-87."
2003.381,31-12-2003,07-01-2004,EPSG,Eliminate alias CRS name,Coordinate Reference System,4126,Old name LKS94 (ETRS89) included as alias to replacement record.,"Changed CRS name from ""LKS94 (ETRS89)"" to ""LKS94""."
2003.39,31-12-2003,07-01-2004,EPSG,Withdraw support for code-concatenated geogCRSs,Coordinate Reference System; Coordinate Operation; Coordinate Operation Method; Coordinate System,Any CRS code > 32767; conversions 101-108; methods 9637-44; CS 6401-02 and 6405-20.,Degree representations no longer supported. GN7 updated.,"Deprecated geographic CRSs with code in range 6xxx6405, 6xxx6413, 63266405-20; conversions 101-108, methods 9637-44; CS 6401-02 and 6405-20."
2004.01,06-01-2004,07-01-2004,Melita Kennedy; ESRI,Resolve discrepancy in method codes,,,Error in Guidance Note 7 references to database method codes corrected in January 2004 version of GN.,No action required to database records.
2004.02,06-01-2004,07-01-2004,Melita Kennedy; ESRI,Correct Netherlands transformation,Coordinate Operation,1961,,Deprecated tfm 1961 and added replacement 1999.
2004.03,08-01-2004,08-01-2004,Melita Kennedy; ESRI,Correct tranformation variant,Coordinate Operation,1770 1772,,Deprecated tfms 1770 and 1772 and added replacements 1095-96.
2004.04,13-01-2004,13-01-2004,EPSG,v6.5 release.,,,,
2004.05,15-01-2004,27-04-2004,EPSG,Add Trinidad transformations,,,,Added tfm 10085.
2004.06,15-01-2004,01-03-2004,EPSG,Add datum information,Datum,5118 5120 5151 6223 6302 6816,,"Added origin description to datums 5118, 5120 and 5151.  Added datum epoch to 5120 and 5151. Amended alias for 5151. Added datum epoch and remarks to datums 6223 6816. Amended origin details and source info for datum 6302."
2004.07,15-01-2004,15-01-2004,Alan Haugh; Hydrosearch,Clarify usage of Italy geogCRS,Coordinate Reference System,4265 4806 3003-04,See change request 2003.360.,Amended scope of CRSs 4265 and 4806 to include minerals licencing. Also added aliases to these and CRSs 3003-04.
2004.08,15-01-2004,20-01-2004,EPSG,Add Italy transformations,Coordinate Operation,1169 1659-64,,Added area 2882-88; tfm 1088-1094. Added aliases to tfm 1169 and 1659-64.
2004.09,29-01-2004,30-01-2004,Stefan Steiniger,Correct signs of Germany transformation,Coordinate Operation,1309,Parameter values for 1309 are consistent with its method (Coordinate Frame).,Amended remarks.
2004.1,08-02-2004,14-09-2004,EPSG,Add European vertical information,Datum; Coordinate Reference System,5101 5105 5109 5117 5127-29 5132 5138 5730,,"Added coord op parameters 8730-31, coord op method 8731, vert datums 5172-5185, vertCRS 5774-5787, tfm 5415-5431. Added origin description and remarks to datums 5101 5105 5109 5117 5127-29 5132 5138. Scope revised for datums 5127-28. Name for vertCRS 5730 amended from ""European Vertical Reference System 2000"" to ""EVRF2000""."
2004.11,11-02-2004,09-03-2004,EPSG,Add New Zealand data,,,,"Added Chatham Islands data: area 2889, datum 6672-73, geogCRS 4672-73, tfm 1080-82. Added additional remarks to datum 4167 and CRSs 6167 and 6272. Added vertical data: datum 5157-5170, vertCRS 5759-5772."
2004.12,01-03-2004,27-04-2004,Reino Ruotsalainen; National Land Survey of Finland,Add Finnish data,Coordinate Operation,1638-39,,Added proj 16065 and projCRS 3067; tfm 10098-99. In tfm 1638 and 1639 changed remarks.
2004.13,09-03-2004,09-03-2004,EPSG,Add Luxembourg transformation.,,,,Added tfm 1078 and 1079.
2004.14,17-03-2004,14-10-2004,EPSG,Add Netherlands transformations.,Coordinate Operation,1751,,Added tfm 1066. Changed remarks for 1751 to refer to 1066.
2004.141,17-03-2004,07-04-2004,EPSG,Amend Molodenski-Badekas method name,Coordinate Operation Method,9606-07 9636,Similar change to GN7. Change made to clarify that the coordinates of the evaluation point are critical parameters.,"Inserted ""10-parameter"" into method name, added alias, example and remarks to method 9636. Added alias and alias remarks and made minor changes to example to methods 9606 and 9607."
