M,Z
909,-2.111
910,-2.126
911,-2.16
912,-2.157
913,-2.034
914,-2
915,-2.17
916,-2.197
917,-2.147
918,-2.067
919,-1.799
920,-2.157
921,-2.254
922,-2.272
923,-2.265
924,-2.18
925,-2.148
926,-2.229
927,-2.15
928,-2.026
929,-2.035
930,-2.229
931,-2.126
932,-1.981
933,-1.711
934,-1.864
935,-1.677
936,-1.461
937,-1.481
938,-0.867
939,-0.647
940,-1.002
941,-1.926
942,-1.503
943,-1.714
944,-1.335
945,-1.399
946,-1.875
947,-1.714
948,-1.562
949,-1.698
950,-1.731
951,-1.705
952,-1.707
953,-1.605
954,-1.519
955,-1.467
956,-1.393
957,-1.362
958,-0.988
959,-1.116
960,-1.207
961,-1.168
962,-1.117
963,-1.136
964,-1.128
965,-1.148
966,-0.986
967,-1.087
968,-1.123
969,-1.098
970,-1.071
971,-1.005
972,-1.043
973,-0.997
974,-0.984
975,-0.621
976,-0.451
977,-0.402
978,-0.914
979,-0.919
980,-0.913
981,-0.833
982,-0.794
983,-0.783
984,-0.711
985,-0.708
986,-0.708
987,-0.693
988,-0.694
989,-0.683
990,-0.61
991,-0.4
992,-0.345
993,-0.293
994,-0.399
995,-0.228
996,-0.102
997,-0.05
998,0.019
999,0.029
1000,0.029
1001,0.03
1002,0.107
1003,0.152
1004,0.187
1005,0.217
1006,0.252
1007,0.221
1008,0.23
1009,0.297
1010,0.347
1011,0.392
1012,0.355
1013,0.367
1014,0.382
1015,0.395
1016,0.393
1017,0.384
1018,0.408
1019,0.423
1020,0.496
1021,0.552
1022,0.53
1023,0.524
1024,0.589
1025,0.654
1026,0.611
1027,0.623
1028,0.648
1029,0.68
1030,0.678
1031,0.675
1032,0.692
1033,0.718
1034,0.722
1035,0.746
1036,0.766
1037,0.799
1038,0.822
1039,0.835
1040,0.873
1041,0.895
1042,0.904
1043,0.908
1044,0.9
1045,0.917
1046,0.953
1047,1.028
1048,1.075
1049,1.043
1050,1.067
1051,1.079
1052,1.086
1053,1.175
1054,1.217
1055,1.295
1056,1.375
1057,1.417
1058,1.605
1059,1.794
1060,1.962
1061,2.099
1062,2.154
1063,2.222
1064,2.337
1065,2.446
1066,2.523
1067,2.643
1068,2.754
1069,2.858
1070,2.958
1071,3.11
1072,3.224
1073,3.419
1074,3.629
1075,3.83
1076,3.972
1077,4.226
1078,4.37
1079,4.44
1080,4.507
1081,4.659
1082,4.799
1083,4.938
1084,5.144
1085,5.378
1086,5.374
1087,5.344
1088,5.392
1089,5.522
1090,5.695
1091,6.034
1092,6.316
1093,6.433
1094,6.431
1095,6.388
1096,6.44
1097,6.525
1098,6.645
1099,6.815
1100,7.277
1101,7.836
1102,7.852
1103,8.053
1104,8.42
1105,8.818
1106,9.397
1107,9.9
1108,10.515
1109,11.415
1110,13.448
1111,15.489
1112,17.272
1113,20.038
1114,21.864
1115,23.7
1116,24.861
1117,26.331
1118,27.868
1119,29.248
1120,30.344
1121,31.089
1122,31.94
1123,32.768
1124,33.351
1125,34.168
1126,35.022
1127,35.691
1128,36.551
1129,37.378
1130,37.958
1131,38.655
1132,39.636
1133,40.762
1134,41.67
1135,44.255
1136,57.085
1137,60.914
1138,66.168
1139,73.099
1140,78.479
1141,80.166
1142,81.165
1143,82.884
1144,85.185
1145,86.632
1146,88.307
1147,90.154
1148,94.215
1149,100.317
1150,99.644
1151,104.374
1152,104.609
1153,104.522
1154,105.311
1155,106.78
1156,108.284
1157,109.537
1158,110.92
1159,112.566
1160,113.919
1161,114.892
1162,115.969
1163,117.103
1164,118.17
1165,118.578
1166,118.81
1167,118.934
1168,118.929
1169,118.877
1170,118.734
1171,118.767
1172,118.768
1173,118.606
1174,118.703
1175,118.689
1176,118.573
1177,118.488
1178,118.653
1179,118.827
1180,118.801
1181,118.894
1182,118.957
1183,118.966
1184,118.855
1185,118.968
1186,119.059
1187,119.051
1188,119.016
1189,118.928
1190,118.897
1191,118.687
1192,118.997
1193,118.956
1194,119.037
1195,119.112
1196,119.166
1197,119.148
1198,119.138
1199,119.129
1200,119.059
1201,119.311
1202,119.387
1203,119.376
1204,119.417
1205,119.321
1206,119.393
1207,119.495
1208,119.509
1209,119.434
1210,119.349
1211,119.439
1212,119.433
1213,119.573
1214,119.597
1215,119.543
1216,119.54
1217,119.563
1218,119.516
1219,119.248
1220,119.621
1221,119.708
1222,119.658
1223,119.645
1224,119.722
1225,119.765
1226,119.745
1227,119.732
1228,119.585
1229,119.62
1230,119.685
1231,119.795
1232,119.775
1233,119.729
1234,119.724
1235,119.655
1236,119.793
1237,119.833
1238,119.738
1239,119.473
1240,119.535
1241,119.787
1242,119.595
1243,119.705
1244,119.852
1245,119.69
1246,119.508
1247,119.487
1248,119.622
1249,119.93
1250,119.824
1251,120.023
1252,120
1253,120.019
1254,120.031
1255,120.069
1256,120.069
1257,120.158
1258,120.134
1259,120.117
1260,120.124
1261,120.177
1262,120.262
1263,120.213
1264,120.169
1265,120.108
1266,120.152
1267,120.147
1268,120.226
1269,120.329
1270,120.372
1271,120.355
1272,120.112
1273,120.063
1274,120.22
1275,120.311
1276,120.407
1277,120.379
1278,120.216
1279,120.45
1280,120.09
1281,120.335
1282,120.418
1283,120.507
1284,120.537
1285,120.548
1286,120.571
1287,120.581
1288,120.563
1289,120.565
1290,120.61
1291,120.594
1292,120.393
1293,120.203
1294,120.133
1295,120.128
1296,120.174
1297,120.351
1298,120.565
1299,120.716
1300,120.652
1301,120.575
1302,120.478
1303,120.567
1304,120.674
1305,120.769
1306,120.803
1307,120.592
1308,120.662
1309,120.57
1310,120.292
1311,120.484
1312,120.564
1313,120.592
1314,120.608
1315,120.605
1316,120.618
1317,120.723
1318,120.755
1319,120.723
1320,120.624
1321,120.857
1322,120.822
1323,120.661
1324,120.768
1325,120.847
1326,120.874
1327,120.952
1328,120.953
1329,120.964
1330,120.92
1331,120.981
1332,120.982
1333,121.057
1334,121.064
1335,121.065
1336,121.085
